city,address,area,floor,name,price,province,rooms,toward,unit,year,origin_url
抚州,东乡县,134.1㎡,低层（共12层）,凤凰城,94万,江西,3室2厅,南北向,7010元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201847.htm
抚州,东乡县,134.1㎡,低层（共12层）,凤凰城,94万,江西,3室2厅,南北向,7010元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201847.htm
抚州,崇仁县,74㎡,中层（共6层）,二中附近,26万,江西,2室1厅,南北向,3514元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201850.htm
抚州,崇仁县,74㎡,中层（共6层）,二中附近,26万,江西,2室1厅,南北向,3514元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201850.htm
抚州,崇仁县,143㎡,中层（共6层）,跃进小学旁边,63万,江西,3室2厅,南北向,4406元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201849.htm
抚州,崇仁县,143㎡,中层（共6层）,跃进小学旁边,63万,江西,3室2厅,南北向,4406元/㎡,,https://jxfuzhou.esf.fang.com/chushou/16_201849.htm
晋中,汇通路-汇通路57号,45㎡,中层（共5层）,太铁一处,33万,山西,2室1厅,东向,7333元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201964.htm
晋中,汇通路-汇通路57号,45㎡,中层（共5层）,太铁一处,33万,山西,2室1厅,东向,7333元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201964.htm
晋中,迎宾街,100.07㎡,中层（共33层）,地厚和山名邸,85万,山西,3室1厅,南北向,8494元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201966.htm
晋中,迎宾街,100.07㎡,中层（共33层）,地厚和山名邸,85万,山西,3室1厅,南北向,8494元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201966.htm
晋中,顺城路,135㎡,中层（共5层）,郭家堡西苑新区,88万,山西,3室2厅,南北向,6519元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201969.htm
晋中,顺城路,135㎡,中层（共5层）,郭家堡西苑新区,88万,山西,3室2厅,南北向,6519元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201969.htm
晋中,大学城,181㎡,高层（共25层）,晋中恒大华府,226万,山西,4室2厅,南北向,12486元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201970.htm
晋中,大学城,181㎡,高层（共25层）,晋中恒大华府,226万,山西,4室2厅,南北向,12486元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201970.htm
晋中,大学城,20㎡,低层（共1层）,盘古文化广场晋中三馆商铺,30万,山西,1室0厅,南北向,15000元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201971.htm
晋中,大学城,20㎡,低层（共1层）,盘古文化广场晋中三馆商铺,30万,山西,1室0厅,南北向,15000元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201971.htm
晋中,大学城,156㎡,低层（共25层）,晋中恒大华府,185万,山西,4室2厅,南北向,11859元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201973.htm
晋中,大学城,156㎡,低层（共25层）,晋中恒大华府,185万,山西,4室2厅,南北向,11859元/㎡,,https://jinzhong.esf.fang.com/chushou/16_201973.htm
